Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
2462;3.7;6.3;4.2;3.4;8.4;9.6;12.1;11.1;7.4;4.8;4.0;1.8;6.4
6155A;5.2;7.2;5.8;5.3;9.9;;11.4;11.3;8.4;8.1;5.1;5.9;
6000A;6.7;6.9;6.4;;8.3;11.3;8.9;10.4;8.0;;6.6;5.9;
7178I;6.4;8.1;6.6;7.2;11.2;11.8;12.4;11.6;9.8;8.9;7.1;7.0;9.0
7228;6.4;7.7;5.9;6.6;10.6;11.8;11.9;11.2;8.4;8.7;7.0;7.2;8.6
7031;;8.0;6.0;;10.5;11.7;11.4;;8.4;8.3;6.5;6.7;
9263D;3.9;6.2;4.9;4.2;;;10.5;8.9;7.8;4.4;4.7;1.9;
1690A;2.6;4.7;5.8;3.7;;;11.8;8.6;7.7;3.8;;2.0;
1484C;4.0;5.0;7.4;5.3;9.8;;12.9;8.7;8.5;4.5;4.6;2.1;
2867;3.9;7.0;6.4;5.5;10.3;10.9;13.3;11.6;9.9;7.6;4.9;4.0;7.9
C929I;6.9;;7.6;8.8;9.1;8.3;7.9;8.4;7.3;7.2;6.0;4.9;
C430E;9.1;10.0;9.7;10.8;12.6;12.6;12.7;12.4;10.0;9.4;;8.0;
C139E;5.7;6.6;6.2;6.3;;6.1;8.7;9.0;5.9;4.8;5.8;3.8;
C449C;7.3;8.9;7.8;;;10.0;12.2;11.4;9.2;7.6;6.6;6.4;
C447A;4.3;7.3;5.4;6.5;7.5;3.8;8.8;;7.1;;;2.5;
C429I;8.3;9.4;8.3;8.2;9.8;10.3;11.8;11.4;8.6;8.2;7.5;6.6;9.0
2465;4.4;6.6;5.9;5.0;9.5;10.3;12.5;11.2;8.9;6.2;5.1;2.7;7.4
5796;6.0;8.3;6.1;;;12.2;12.3;11.9;8.5;8.6;6.4;5.3;
5783;5.9;8.5;8.1;7.5;10.8;;;;;;;;
2030;4.6;6.5;6.2;3.9;8.5;8.5;10.6;10.1;8.5;6.4;5.2;3.1;6.8
0016A;6.0;7.3;6.1;6.3;9.0;;11.8;8.8;8.5;7.6;5.7;5.4;
9981A;5.7;7.6;5.9;5.5;9.1;8.9;11.4;10.3;8.6;7.8;5.7;5.7;7.7
9381I;4.9;7.6;6.0;5.1;9.6;10.1;11.7;10.9;8.5;7.2;5.5;4.7;7.7
8368U;5.0;7.8;5.3;6.1;;9.9;10.8;10.5;8.6;7.4;5.1;;
3260B;4.7;6.3;7.0;6.7;9.8;12.2;12.7;11.7;9.8;8.4;4.3;4.8;8.2
8416;5.4;7.5;5.0;6.2;9.4;10.6;10.5;10.2;8.9;8.0;5.8;7.2;7.9
8414A;5.8;8.3;5.1;6.5;10.0;11.0;10.7;10.7;9.1;8.4;5.9;7.2;8.2
2422;2.3;5.7;6.8;5.2;8.9;9.6;11.1;10.3;9.3;6.9;4.2;3.3;7.0
2539;2.4;6.1;;;;;;11.1;8.5;6.7;4.7;3.1;
2614;1.7;5.5;6.5;5.1;10.0;;13.1;10.6;9.0;6.5;3.0;3.1;
9390;4.0;6.8;5.2;4.8;9.2;10.0;11.0;10.7;7.9;6.8;4.5;3.8;7.1
9434;4.1;8.1;6.6;6.6;;;12.0;11.2;;;;4.2;
