Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;3.8;4.8;5.6;4.3;9.0;6.8;10.7;7.4;8.5;4.4;4.8;2.3;6.0
1387E;;;;3.7;;;;;;;;;
1428;3.9;4.6;6.1;3.3;8.5;6.4;11.5;6.8;7.6;3.6;4.3;1.9;5.7
8175;5.1;7.0;5.7;6.2;9.4;11.1;11.6;10.9;8.8;8.0;5.8;;
8178D;;;;6.4;9.8;;12.0;;;;;;
8025;6.9;8.2;6.5;8.0;11.1;12.0;12.4;11.4;9.8;9.0;6.8;7.0;9.1
8019;;8.2;6.4;8.0;11.2;12.1;12.3;11.4;9.7;8.9;6.7;6.9;
6325O;6.4;7.9;;;;12.6;12.1;11.3;9.0;8.7;6.9;7.1;
9091O;3.3;5.6;5.4;5.3;7.8;6.8;8.7;7.4;7.0;4.5;4.3;2.3;5.7
1212E;4.0;5.2;4.8;3.3;7.9;5.4;7.3;6.7;7.1;4.1;5.0;2.2;5.3
1208H;3.9;5.4;;;;5.4;;;;;;;
1249I;4.3;6.0;;3.5;7.8;4.7;5.9;6.0;6.5;4.2;5.1;2.2;
2444;3.8;7.5;5.7;5.4;10.1;11.0;12.7;11.4;9.3;7.3;4.5;3.8;7.7
4452;4.0;6.4;7.4;6.3;10.1;12.4;13.2;12.0;9.4;7.6;3.7;3.6;8.0
B954;5.5;7.2;6.4;7.2;;;;10.3;8.7;7.9;5.4;6.1;
B893;4.6;6.7;5.7;7.5;10.6;10.5;11.4;10.6;8.5;7.5;5.1;4.0;7.7
B278;4.7;6.8;;7.4;10.5;10.9;11.1;10.1;8.7;7.3;5.7;4.7;
B228;4.8;6.4;;;;10.9;11.0;10.0;8.4;7.2;5.6;5.3;
0200E;6.1;7.1;5.8;7.1;9.6;9.4;10.7;10.1;7.7;7.2;5.7;5.4;7.7
0076;3.8;5.9;5.7;6.8;9.3;8.8;9.7;9.3;8.1;6.4;3.8;3.2;6.7
1082;3.4;4.2;3.5;3.5;6.8;5.1;6.8;6.0;6.8;2.8;4.4;1.7;4.6
2331;3.3;5.5;6.0;3.7;8.6;7.6;11.5;9.3;8.4;4.7;4.8;2.1;6.3
3469A;5.0;6.9;7.6;7.2;10.5;13.0;13.1;12.5;9.7;7.8;4.3;4.2;8.5
5960;6.2;8.3;6.4;6.5;9.7;12.4;12.4;11.9;9.4;8.7;6.1;;
5910;6.1;8.2;7.4;7.7;10.8;11.9;12.0;11.8;9.1;8.7;5.9;5.1;8.7
1111;3.8;4.6;4.9;4.7;8.2;6.4;8.4;6.6;7.8;4.1;4.9;2.0;5.5
1109;3.3;4.6;;;;5.2;7.0;6.1;6.6;3.6;4.7;1.8;
8500A;5.9;8.2;5.7;6.7;10.5;10.9;11.2;10.6;9.6;8.7;6.2;7.0;8.4
5000C;4.7;6.1;5.9;5.1;9.5;;9.9;10.4;7.3;6.9;4.1;4.9;
4121;4.5;6.3;6.6;6.2;9.9;12.3;12.5;;9.0;;4.9;;
5402;6.2;8.7;8.8;9.3;10.2;12.5;12.8;11.6;9.1;8.6;5.9;5.0;9.1
8096;4.4;7.0;4.9;5.3;7.7;8.8;9.4;10.0;7.5;7.2;5.3;4.9;6.9
1014;3.1;4.7;3.6;4.4;7.5;6.3;8.4;7.0;6.5;3.0;3.8;1.3;5.0
1024E;3.9;4.8;4.0;4.3;7.7;5.9;8.2;6.4;6.9;3.3;4.8;2.0;5.2
0367;5.9;7.1;5.2;6.6;9.2;8.0;9.2;9.6;7.8;6.7;5.5;5.1;7.2
5530E;6.7;9.0;6.8;6.4;10.5;12.6;12.5;12.0;9.3;9.0;6.8;5.1;8.9
5514;6.5;8.2;6.0;6.4;10.2;12.5;12.3;11.7;8.5;8.3;6.3;4.7;8.5
3013;3.7;6.9;5.0;;9.1;10.3;11.0;10.6;7.6;5.9;;3.8;
4642E;5.8;8.8;7.7;7.1;11.1;12.4;12.9;12.7;10.1;9.1;6.1;5.7;9.1
9898;3.8;8.1;6.4;6.5;9.5;9.6;11.9;10.7;9.2;7.5;5.4;4.2;7.7
5270B;5.3;8.1;7.0;6.2;;;;;;;;4.9;
9170;3.3;;6.3;4.8;;8.1;11.5;9.1;9.0;5.7;3.9;3.0;
C249I;;;;;;;10.2;;;;;;
C649I;;;;9.3;;;;;;;6.8;7.3;
C029O;;8.9;;;;;;10.7;9.3;8.2;;;
2661;3.4;6.7;8.4;5.9;9.5;10.8;13.3;10.2;9.2;7.1;4.4;3.8;7.7
1549;3.4;6.2;6.9;5.3;9.8;8.7;12.1;9.4;8.9;4.5;4.6;1.8;6.8
9771C;1.8;7.7;7.2;7.1;10.3;;12.7;11.2;9.8;8.4;4.2;4.3;
1505;2.8;4.5;5.5;4.0;8.5;6.2;8.9;7.1;7.2;3.9;4.1;1.6;5.4
3191E;4.4;;;;9.0;10.8;11.5;10.8;8.4;6.9;4.1;4.5;
3129;;;;5.1;9.3;;;;8.2;6.6;4.1;4.1;
3196;4.8;6.5;5.9;6.5;10.0;12.0;12.0;11.4;9.0;7.4;4.6;4.5;7.9
3200;4.6;6.1;5.9;6.3;9.5;11.5;12.2;11.4;9.2;7.5;4.4;4.5;7.8
3175;4.7;6.1;5.6;5.8;9.8;11.7;12.3;11.6;8.6;6.9;4.2;3.8;7.6
