Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;13;14;16;11;13;13;14;12;11;14;11;18;13
1387E;15;15;14;11;13;13;13;13;11;15;12;17;14
1428;11;12;11;10;10;11;10;12;8;12;8;13;11
8175;11;11;18;14;13;17;15;;14;14;10;15;
8178D;3;3;7;4;4;5;5;4;4;4;;;
8025;6;6;9;8;8;9;9;8;8;8;;8;
8019;;11;17;14;14;13;14;13;13;13;11;;
6325O;12;14;17;18;20;18;17;15;15;;14;17;
9091O;12;12;14;11;12;12;14;12;11;13;10;13;12
1212E;13;14;16;11;14;13;12;11;13;16;11;;
1208H;;6;9;;8;8;;;;;;;
1249I;6;;;7;8;7;7;;7;;;;
2444;9;9;14;11;10;12;10;11;10;10;8;11;10
4452;8;7;12;9;9;12;9;10;8;8;7;8;9
B954;14;11;19;14;;16;15;14;12;14;13;19;
B893;16;14;20;16;19;;18;16;14;16;16;18;
B278;12;11;17;14;17;16;17;15;13;13;11;14;14
B228;;6;9;7;8;8;;8;6;6;6;6;
0200E;16;14;15;14;12;11;11;14;14;14;16;16;14
0076;19;16;21;19;17;15;15;16;16;16;16;15;17
1082;10;11;14;12;12;12;12;10;11;12;10;14;12
2331;16;15;20;15;17;15;20;16;15;16;13;18;16
3469A;10;8;12;11;9;12;9;10;9;10;7;12;10
5973;10;14;15;18;20;14;15;15;17;13;16;13;15
5960;10;;13;14;14;15;;12;13;;10;;
5910;9;11;14;17;17;18;15;;16;;12;;
6001;15;22;;;;19;27;22;25;21;;17;
1111;14;;;12;12;14;13;14;;19;13;;
8500A;7;6;9;8;8;8;8;8;9;9;7;8;8
5000C;9;11;12;12;11;10;10;11;11;10;10;11;11
4121;6;5;10;7;;10;8;;;;;;
5402;7;7;11;8;9;;10;;8;8;7;9;
8096;5;4;7;7;7;8;7;7;6;6;5;6;6
1014;11;12;11;10;10;11;11;10;10;13;10;16;11
1024E;16;17;;16;13;13;12;12;14;18;18;23;
0367;11;9;10;14;12;13;;12;;8;8;9;
5530E;;4;10;10;10;12;12;11;9;8;6;8;
5514;;9;12;12;12;13;15;13;;11;9;;
3013;5;6;9;6;6;7;6;6;5;;5;9;
4642E;8;9;12;13;13;16;13;14;12;11;9;10;12
9898;6;7;9;9;7;8;9;9;8;8;7;7;8
5270B;5;7;12;9;;;;;;8;6;10;
9170;9;;12;13;;8;12;9;10;10;9;11;
C249I;18;20;24;19;22;23;27;27;20;21;17;20;22
C649I;16;21;;23;26;27;36;33;26;23;17;21;
C029O;17;19;23;;23;;34;33;22;20;;18;
2661;;12;15;13;10;14;11;12;11;15;8;16;
1549;4;5;8;7;6;8;7;7;6;5;5;6;6
9771C;7;8;12;8;9;10;8;9;8;10;6;11;9
1505;9;9;8;7;8;7;8;7;6;8;6;9;8
3129;9;8;13;10;11;13;11;12;9;11;6;14;11
3196;9;;;;12;13;12;11;10;10;7;13;
3200;;;14;12;;;;;;;;14;
3195;6;5;8;7;7;;;;;;;;
2462;14;12;16;15;12;10;10;12;12;15;14;17;13
6155A;14;14;18;14;13;16;14;15;14;14;11;14;14
6000A;9;11;15;13;12;12;12;12;11;10;10;11;12
7178I;7;7;11;9;10;10;11;10;9;8;7;9;9
9263D;10;9;;11;13;13;19;15;13;11;9;10;
1690A;4;4;5;5;5;5;5;5;4;4;4;4;5
1484C;9;8;10;8;8;9;10;9;7;7;7;9;8
1495;14;12;13;12;14;13;;;10;12;12;13;
2867;14;12;17;12;12;14;10;11;10;13;9;17;13
2870;6;6;8;6;7;8;6;7;6;7;5;9;7
C929I;21;;25;20;23;23;30;26;21;;19;;
C430E;24;30;;;29;27;20;20;29;26;;27;
C139E;15;;21;17;;19;27;;;;;16;
C449C;;10;11;11;;11;10;11;11;10;9;10;
C447A;15;18;21;20;22;;28;23;18;18;17;16;
C429I;21;26;24;18;19;26;27;29;23;;;20;
2465;10;8;13;10;10;11;10;11;10;12;9;13;11
5796;6;6;8;7;8;9;6;7;6;7;6;7;7
5783;8;9;14;12;;;;13;11;10;10;11;
2030;9;8;11;9;10;9;9;9;8;10;7;12;9
0016A;11;12;17;11;12;12;12;12;;15;11;16;
9981A;9;8;11;8;10;11;11;11;10;11;;12;
9381I;6;6;11;9;8;9;10;9;9;8;6;10;8
8368U;5;6;8;7;7;8;7;7;7;6;5;8;7
3260B;8;8;15;11;12;15;13;13;11;12;8;12;12
8414A;12;11;17;13;15;15;15;14;14;14;10;16;14
2422;6;6;9;7;6;8;7;7;6;7;5;9;7
2539;16;13;19;13;14;14;15;14;14;16;12;19;15
2614;8;6;8;7;8;8;9;8;7;6;5;8;7
9390;4;5;7;5;6;7;7;6;6;6;4;7;6
9434;14;13;17;14;16;16;20;18;15;15;11;17;16
