Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
C447A;11.4;11.2;10.4;;13.7;14.6;17.3;17.1;17.3;15.7;14.3;12.9;
C429I;15.4;15.5;14.9;15.7;17.9;19.4;20.8;21.4;21.7;19.8;18.7;17.1;18.2
2465;0.3;2.1;4.3;3.9;10.6;14.1;18.4;17.8;12.1;12.5;5.3;4.9;8.9
5796;4.9;5.9;9.2;9.5;14.2;17.2;21.0;20.4;17.9;16.2;11.1;10.0;13.1
5783;5.8;7.2;9.6;9.7;15.0;17.9;21.8;20.7;18.0;16.5;11.3;;
2030;-3.2;-0.8;2.3;3.0;8.7;12.3;14.8;14.7;10.2;8.6;3.6;3.4;6.5
0016A;1.1;5.2;8.0;8.8;13.1;18.8;20.6;21.2;18.2;15.3;9.5;6.4;12.2
9981A;3.8;7.3;8.9;10.4;15.0;20.0;22.1;22.1;19.3;16.6;11.1;7.8;13.7
9381I;-5.0;-2.0;2.9;3.1;8.2;12.5;15.7;15.2;10.3;9.5;3.8;2.8;6.4
8368U;-5.2;-1.5;3.7;3.8;8.3;12.8;15.8;14.9;11.4;9.3;4.1;2.1;6.6
3260B;;3.1;7.0;6.9;13.5;17.9;22.0;21.2;16.2;13.8;7.6;6.6;
8416;5.8;8.3;10.2;11.3;16.0;21.2;23.6;23.9;21.2;17.5;13.2;11.0;15.3
8414A;3.0;6.2;9.4;10.0;14.1;19.9;22.4;22.7;19.6;16.3;11.4;9.1;13.7
2422;-1.2;0.6;4.3;4.3;10.6;14.0;16.7;17.0;12.1;11.1;5.1;5.1;8.3
2539;-2.7;-1.4;2.7;2.3;7.9;10.9;14.3;14.5;9.6;9.4;3.6;3.9;6.3
2614;-1.7;0.2;4.8;4.4;10.7;14.0;17.0;17.1;12.8;11.1;5.8;6.1;8.5
9390;-4.0;-1.1;3.5;4.1;9.7;14.1;16.6;16.4;11.5;10.5;4.3;3.5;7.4
9434;1.0;5.0;7.4;8.8;14.8;19.5;20.6;21.3;16.9;14.9;8.2;5.4;12.0
