Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14.6;15.1;16.1;16.4;20.2;21.2;24.0;23.3;22.8;21.1;17.7;15.7;19.0
1387E;14.4;14.8;;16.4;20.8;21.5;25.9;25.5;23.7;21.1;17.1;15.2;
1428;13.5;14.1;14.9;16.4;21.9;20.9;28.2;27.1;22.5;19.5;14.7;13.4;18.9
8175;12.8;16.2;13.4;16.9;27.3;33.5;36.6;34.7;29.1;25.4;17.6;15.0;23.2
8178D;13.4;16.6;13.1;16.9;27.2;32.9;36.2;34.4;28.7;25.4;17.8;15.0;23.1
8025;16.6;18.5;17.5;20.9;26.3;30.6;32.8;33.4;30.3;27.2;22.9;19.9;24.7
8019;16.0;17.8;17.1;19.7;26.2;30.7;33.7;33.7;30.4;26.5;22.3;19.4;24.5
6325O;17.3;18.7;19.2;19.8;25.5;28.8;32.8;33.8;28.5;27.6;22.1;19.6;24.5
9091O;10.6;13.1;13.0;15.4;23.2;26.7;29.3;30.0;24.8;24.3;15.2;12.4;19.8
1212E;12.8;13.8;14.7;;;20.5;23.0;22.8;;21.5;17.4;;
1208H;14.0;15.0;15.6;15.9;19.3;21.0;23.7;23.8;22.8;22.8;18.5;16.9;19.1
1249I;11.8;13.9;14.9;16.1;19.9;21.7;25.1;24.3;22.3;21.9;16.3;14.2;18.5
2444;9.6;12.5;10.0;13.7;23.0;26.8;32.6;30.8;23.2;20.4;13.7;11.0;18.9
4452;15.9;18.8;18.0;21.6;30.3;32.0;39.0;36.0;29.9;27.5;18.8;17.0;25.4
B954;15.1;16.6;16.3;18.2;23.9;28.7;31.5;32.5;;;21.4;18.4;
B893;13.9;15.9;15.9;18.5;24.6;29.6;32.0;33.2;30.2;24.4;19.7;17.4;22.9
B278;15.3;17.3;16.8;20.2;26.5;30.2;33.2;33.4;29.7;27.2;21.4;18.6;24.2
B228;16.0;17.4;17.1;20.1;25.2;29.6;32.9;33.0;;27.3;22.2;19.5;
0200E;14.1;16.2;13.2;18.3;25.6;30.0;31.6;32.6;26.9;24.4;19.2;15.9;22.3
0076;14.5;16.3;15.9;;;28.2;30.6;31.5;27.8;24.8;20.2;16.6;
1082;13.7;16.0;16.8;17.3;22.9;25.3;28.6;28.6;25.8;25.5;18.7;16.3;21.3
2331;9.5;11.8;11.0;14.0;22.0;27.5;31.0;30.1;24.0;21.9;12.9;10.0;18.8
3469A;14.1;16.8;15.6;19.3;28.3;31.0;38.1;35.5;28.4;25.9;17.0;15.1;23.8
5973;16.8;18.4;17.7;20.0;25.2;26.2;30.6;28.1;25.6;25.6;21.0;19.3;22.9
5960;18.5;21.5;;;30.2;;37.7;34.7;31.1;30.4;22.7;19.9;
5910;17.6;19.7;18.5;21.4;27.6;28.6;33.6;30.3;27.6;27.8;21.7;19.6;24.5
6001;15.0;16.0;15.9;17.6;;23.8;26.7;27.0;;23.6;19.9;18.1;
1111;12.7;13.9;15.5;15.5;18.9;21.2;23.6;23.9;22.9;23.5;17.7;16.0;18.8
1109;13.7;15.3;17.3;17.5;21.0;23.3;26.2;25.6;24.3;24.7;18.5;16.5;20.3
8500A;16.0;17.8;16.1;20.1;25.5;30.0;32.0;33.0;29.1;25.7;21.6;18.3;23.8
5000C;16.1;17.4;;19.6;23.3;26.7;28.4;29.4;27.8;23.5;21.4;19.1;
4121;12.4;16.4;14.6;18.4;28.7;32.6;37.6;35.0;28.4;25.9;17.5;14.5;23.5
5402;16.8;20.6;18.8;21.8;31.6;34.6;40.4;37.7;32.3;29.4;20.9;18.0;26.9
8096;13.3;16.3;12.4;17.2;27.0;31.7;36.1;33.8;27.4;24.4;15.8;12.6;22.3
1014;12.7;14.9;17.1;17.2;22.3;24.4;27.2;27.1;24.4;25.5;18.6;16.8;20.7
1024E;10.8;13.2;14.9;14.6;19.7;22.1;24.2;24.3;22.1;22.9;16.5;14.7;18.3
0367;15.2;;15.0;19.6;26.8;32.9;35.1;34.6;28.3;25.7;;16.5;
5530E;15.7;19.5;16.7;20.0;30.1;34.2;39.3;37.4;31.2;29.6;20.3;17.4;26.0
5514;14.9;18.5;16.0;19.2;28.7;33.2;37.3;35.8;30.3;28.7;19.8;17.0;25.0
3013;11.1;14.5;10.9;15.9;24.1;28.7;33.3;31.0;24.6;22.3;13.5;10.9;20.1
4642E;18.3;20.7;19.1;22.2;28.4;30.8;35.3;31.9;29.5;27.4;22.0;19.4;25.4
9898;10.5;14.7;13.9;18.0;27.5;32.7;35.3;34.6;27.2;24.1;15.3;11.5;22.1
5270B;13.9;17.2;15.5;18.8;29.2;32.6;38.1;35.7;29.3;27.2;18.4;15.9;24.3
9170;11.3;15.0;13.6;17.9;26.3;31.5;34.0;33.0;27.3;25.8;16.4;12.0;22.0
C249I;20.8;22.1;22.0;22.8;24.7;26.2;28.7;27.6;27.5;26.1;24.9;23.5;24.7
C649I;;22.4;;22.7;24.9;25.8;28.2;27.5;27.0;26.4;25.3;;
C029O;21.8;24.0;22.8;24.8;;27.8;;30.4;;28.9;26.7;;
2661;10.7;13.3;11.7;15.9;23.5;25.6;32.2;30.4;23.2;;12.6;;
1549;12.4;15.3;14.7;18.6;26.8;26.7;34.2;32.7;25.4;23.1;14.3;12.0;21.4
9771C;10.7;16.2;15.9;20.4;29.4;34.6;35.9;35.5;28.8;26.3;18.5;12.2;23.7
1505;12.2;14.3;14.9;17.2;22.0;22.3;27.5;;23.3;21.1;15.1;12.9;
3191E;10.5;13.6;10.9;15.2;23.9;28.2;33.9;31.5;24.2;20.5;13.0;9.7;19.6
3129;12.8;16.2;14.0;18.5;27.9;32.1;37.7;35.2;28.2;24.8;16.6;12.8;23.1
3196;12.8;16.2;13.8;18.2;27.0;31.8;37.3;34.6;27.5;24.4;16.1;12.5;22.7
3200;13.0;16.4;14.2;18.6;28.0;32.1;37.6;35.0;28.0;25.0;16.7;13.1;23.1
3195;11.6;15.1;;18.2;26.9;31.3;;34.3;26.8;22.9;;11.8;
3175;12.3;16.8;15.4;18.2;;32.2;37.7;35.1;27.8;24.5;16.3;12.8;
2462;4.6;7.5;3.3;7.0;16.7;20.9;27.5;25.1;17.1;14.1;7.3;5.1;13.0
6155A;17.3;19.5;18.9;21.9;27.1;31.7;31.5;32.3;31.0;26.4;22.9;19.6;25.0
6000A;16.6;18.1;;;23.8;27.7;29.4;30.3;28.3;25.7;22.5;21.1;
7178I;17.4;20.2;17.9;21.0;29.2;34.8;36.3;36.4;32.7;27.6;23.5;20.9;26.5
7228;16.7;20.0;18.1;21.7;29.8;35.0;36.5;36.5;32.8;27.7;23.0;20.0;26.5
7031;16.1;18.0;17.3;19.1;24.6;28.5;30.3;31.5;29.1;25.1;22.3;18.9;23.4
9263D;10.9;14.1;14.1;16.6;25.5;30.7;32.9;33.4;27.0;25.4;15.1;12.3;21.5
9262;;13.6;13.8;16.0;24.8;;31.3;31.8;25.9;25.1;15.1;12.3;
1690A;15.6;17.7;17.6;21.0;27.6;26.8;35.2;34.4;;;;15.8;
1484C;15.4;16.5;17.2;18.0;23.7;23.0;29.8;27.4;24.7;21.6;16.7;15.3;20.8
1495;;15.5;15.7;;22.8;;30.1;;23.9;20.8;15.7;14.3;
2867;11.6;14.3;13.3;16.8;25.6;28.9;35.2;33.3;26.0;23.7;15.2;12.4;21.4
2870;12.6;15.1;13.9;17.7;25.9;28.4;35.2;33.4;26.0;23.4;15.4;12.9;21.7
C929I;21.8;21.5;20.8;21.6;23.4;23.9;25.5;26.1;26.4;25.4;24.3;23.6;23.7
C430E;6.7;7.6;9.4;12.7;17.9;19.7;24.0;23.2;17.1;16.2;14.1;10.3;14.9
C139E;21.9;21.6;20.8;21.5;23.7;24.3;25.6;26.2;26.4;25.6;24.8;23.8;23.9
C449C;22.1;22.8;22.1;23.2;25.6;26.9;30.6;29.8;27.8;27.1;25.2;23.9;25.6
C447A;17.4;18.1;16.2;;22.3;21.9;26.3;26.2;23.8;23.1;21.8;19.5;
C429I;22.7;24.1;22.4;23.5;25.6;26.4;29.7;29.2;28.2;27.6;26.5;24.4;25.9
2465;10.0;12.9;11.4;14.4;23.5;27.9;33.7;31.4;23.9;21.9;13.7;11.7;19.7
5796;18.1;21.4;19.1;22.3;30.6;33.8;40.2;36.8;32.2;30.4;22.4;19.6;27.2
5783;17.2;20.4;18.6;22.0;31.2;34.2;39.4;35.5;31.6;29.1;21.7;;
2030;12.2;13.7;10.1;15.2;23.2;28.4;33.8;31.7;24.8;22.2;13.7;10.5;20.0
0016A;15.7;17.3;16.0;20.3;26.0;29.9;32.2;32.7;28.1;25.1;20.3;17.1;23.4
9981A;16.2;19.3;16.4;21.5;28.5;33.1;35.5;35.9;30.2;27.3;21.3;17.2;25.2
9381I;11.5;14.2;11.3;16.0;25.1;31.0;34.1;32.6;26.2;24.2;15.1;12.6;21.2
8368U;12.8;15.3;12.5;17.2;26.5;32.9;35.7;34.0;27.4;24.5;16.4;14.0;22.4
3260B;;17.4;14.9;19.3;28.9;33.3;39.1;36.8;29.4;27.2;18.1;14.6;
8416;16.7;18.2;16.3;19.8;24.7;29.4;31.3;32.4;29.4;25.8;22.6;19.5;23.8
8414A;16.6;18.9;16.4;20.2;26.4;31.6;33.1;34.3;30.2;26.3;22.1;19.3;24.6
2422;10.9;13.7;13.2;16.6;25.6;29.6;35.2;33.3;26.0;23.1;14.1;11.4;21.1
2539;10.4;13.1;12.3;15.5;23.8;28.3;33.7;31.8;24.6;22.1;13.4;10.9;20.0
2614;10.8;14.2;13.9;18.1;26.3;29.0;35.8;33.9;26.0;23.2;14.3;12.0;21.5
9390;12.0;14.9;12.0;16.7;25.7;31.2;33.9;33.0;26.9;25.1;15.8;13.0;21.7
9434;11.6;15.8;14.8;19.3;28.2;33.9;35.5;35.0;28.3;25.6;17.2;13.0;23.2
