Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
2867;5.2;5.3;8.6;7.8;9.8;10.8;12.6;12.0;7.7;8.0;5.7;4.1;8.1
C929I;5.5;8.0;7.6;8.3;8.8;;6.7;9.9;8.5;7.9;6.2;5.5;
C430E;7.5;9.2;10.5;11.2;12.5;12.5;12.8;12.6;11.4;10.5;7.6;8.8;10.6
C139E;3.9;6.0;6.1;6.2;6.9;6.3;8.6;8.3;5.3;6.0;;;
C449C;;8.3;8.8;9.1;9.9;9.8;11.9;11.4;;9.0;5.7;6.1;
C447A;4.1;;5.1;6.3;6.0;5.3;7.3;8.6;7.3;;3.1;4.5;
C429I;7.3;8.2;9.2;8.9;10.3;9.8;11.6;10.3;9.3;9.0;7.0;8.0;9.1
2465;4.2;5.0;7.7;6.3;8.6;10.1;12.0;11.7;7.5;7.5;4.1;4.1;7.4
5796;5.5;5.3;7.3;7.5;10.8;11.4;12.3;11.5;8.7;8.6;7.4;6.1;8.5
5783;;5.3;8.6;7.6;11.4;11.6;12.7;11.9;9.3;9.0;7.6;6.1;
2030;4.5;4.7;7.4;6.1;7.8;9.4;10.6;10.6;7.6;7.5;6.2;4.3;7.2
0016A;6.2;4.6;;6.1;8.3;9.0;10.1;7.5;6.4;6.2;6.1;6.5;
9981A;5.7;4.3;7.7;6.0;8.5;8.5;10.0;8.2;6.8;7.3;5.9;6.1;7.1
9381I;4.8;6.5;7.6;6.9;9.0;9.6;12.0;10.3;7.5;7.3;5.0;4.8;7.6
8368U;4.9;6.3;7.4;6.2;8.9;9.5;11.8;9.8;7.3;7.3;4.8;5.1;7.4
3260B;5.8;6.5;8.7;7.5;11.0;10.7;12.6;12.1;8.7;;6.9;;
8416;6.3;5.1;7.1;5.3;9.1;9.3;11.1;8.6;7.9;7.3;6.0;6.0;7.4
8414A;6.5;5.2;7.2;5.6;9.2;9.6;11.5;8.8;8.1;7.4;6.1;6.2;7.6
2422;3.8;4.7;8.4;6.4;8.6;9.0;10.8;11.3;7.6;7.5;5.6;3.8;7.3
2539;3.7;4.4;7.6;6.3;9.3;10.6;12.4;11.9;6.9;7.0;6.5;4.2;7.6
2614;3.4;4.3;8.4;7.0;9.9;;12.5;11.6;7.6;7.1;4.9;3.1;
9390;4.2;5.7;6.9;5.9;8.8;9.2;11.3;10.5;7.0;6.9;4.6;3.9;7.1
9434;;5.6;;;9.6;;;;;7.9;6.5;2.4;
