Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14;16;13;13;15;13;12;12;10;;;;
1387E;13;18;12;10;14;13;13;11;10;12;11;14;13
1428;11;15;8;8;13;11;11;10;8;9;8;12;10
8175;15;16;12;13;16;14;17;14;12;10;13;16;14
8178D;;5;4;;5;5;5;4;3;3;3;4;
8025;8;9;9;9;9;9;8;9;8;7;8;7;8
8019;16;15;15;15;16;;13;14;;12;;15;
6325O;15;21;19;20;;18;16;15;16;17;18;16;
9091O;12;14;13;12;12;12;13;13;10;10;11;14;12
1212E;15;13;13;;13;12;12;13;10;13;;17;
1249I;;;7;7;;;;;6;7;8;8;
2444;9;12;11;9;11;10;10;10;9;7;9;11;10
4452;8;9;10;8;11;10;12;9;8;7;8;9;9
B954;19;16;16;15;17;14;13;14;13;12;16;16;15
B893;17;16;20;19;19;17;17;18;15;16;22;15;18
B278;15;14;15;16;16;16;17;17;16;13;13;12;15
B228;6;7;8;8;8;8;9;8;9;7;8;5;8
0200E;18;13;13;13;13;12;14;11;14;12;15;14;14
0076;17;17;;16;18;16;18;;17;;16;15;
1082;10;14;12;12;13;12;11;11;10;9;9;13;11
2331;17;20;18;18;17;18;19;19;14;14;15;14;17
3469A;11;11;8;9;11;11;11;9;10;8;9;12;10
5973;11;17;19;18;18;16;;14;;17;15;19;
5960;12;13;12;13;;14;13;11;12;11;11;13;
5910;;17;;;19;;;15;15;15;14;16;
6001;;24;24;22;22;21;25;21;19;26;;24;
1111;16;17;13;13;13;13;11;11;11;13;16;;
8500A;9;8;8;7;8;8;9;8;8;7;8;8;8
5000C;10;12;12;11;11;10;11;9;8;11;13;12;11
4121;7;8;8;8;9;8;9;8;7;6;6;7;8
5402;10;10;8;9;10;12;;11;9;8;8;9;
8096;6;7;7;7;8;8;8;7;6;4;6;5;7
1014;12;14;10;11;12;11;10;10;9;11;10;12;11
1024E;16;23;17;16;13;13;11;10;11;14;;;
0367;9;;10;;13;14;15;13;11;9;10;6;
5530E;7;8;9;9;10;11;11;9;9;6;5;6;8
5514;9;11;11;11;13;14;14;13;13;11;9;9;12
3013;;;7;6;9;7;8;7;5;5;6;7;
4642E;10;12;10;13;12;15;14;14;13;11;9;10;12
9898;7;10;8;9;9;9;10;9;8;7;8;7;8
5270B;10;11;9;9;;10;11;9;9;8;9;10;
9170;;13;;13;11;11;;10;9;7;12;9;
C249I;21;20;;;30;27;28;24;21;;20;19;
C649I;;23;27;23;40;39;46;39;30;30;22;20;
C029O;19;18;20;19;33;28;34;27;21;22;18;16;23
2661;13;13;12;11;17;13;12;11;10;10;11;12;12
1549;5;6;6;7;8;7;8;7;6;5;5;6;6
9771C;8;9;8;8;12;9;10;9;7;6;9;9;9
1505;8;11;7;6;9;7;7;7;5;6;5;7;7
3191E;;;;;9;;;;;;;;
3129;11;11;9;9;;13;13;12;10;8;10;10;
3196;12;12;10;10;12;13;13;11;9;7;8;10;11
3200;;12;12;;;;;;;;10;12;
2462;16;20;14;11;11;13;12;10;12;11;13;20;14
6155A;16;14;15;15;16;15;16;15;14;12;17;17;15
6000A;11;13;13;13;12;12;13;11;11;11;11;12;12
7178I;;10;9;9;11;11;11;11;9;;8;7;
9263D;12;;15;14;14;14;17;15;11;11;;8;
1690A;5;6;5;4;6;5;5;5;;3;3;5;
1484C;8;10;8;7;9;8;8;7;7;6;6;7;8
1495;14;17;;12;14;13;;11;11;11;10;13;
2867;17;16;13;13;16;13;11;9;10;10;;;
2870;9;8;7;6;9;7;7;6;7;5;6;7;7
C929I;21;22;25;20;29;;30;23;21;22;22;21;
C430E;;;29;26;;25;23;23;23;19;21;24;
C139E;18;18;22;15;;23;27;18;18;18;17;17;
C449C;;10;;10;13;;12;11;11;10;10;9;
C447A;;19;22;18;26;26;29;;18;18;13;13;
C429I;;20;23;;27;26;24;27;23;25;23;;
2465;12;14;11;10;12;11;11;10;10;7;9;12;11
5796;8;8;7;7;8;7;8;7;6;7;7;8;7
5783;12;12;;11;12;14;;12;;11;10;;
2030;10;9;10;8;11;9;10;9;7;7;9;9;9
0016A;17;14;13;12;14;12;12;12;12;10;14;16;13
9981A;13;9;10;9;11;10;12;9;8;8;13;12;10
9381I;9;11;9;9;10;10;10;9;7;6;8;9;9
8368U;6;7;7;6;8;7;9;7;5;5;7;6;7
3260B;;;12;12;14;13;15;12;10;8;9;;
8414A;17;15;13;12;15;14;15;15;12;11;12;15;14
2422;8;8;6;6;8;7;8;7;6;6;6;7;7
2539;19;18;15;12;17;15;16;13;13;13;15;;
2614;8;7;8;7;8;8;8;7;7;5;7;7;7
9390;6;7;6;5;7;6;8;7;5;4;5;5;6
9434;20;16;20;16;15;15;18;17;12;12;22;13;16
