Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;7.7;10.2;9.1;10.4;11.7;13.9;16.2;16.6;16.3;13.4;9.6;11.0;12.2
1387E;5.0;8.3;5.3;7.6;9.0;12.3;14.8;14.8;14.2;10.6;5.9;8.6;9.7
1428;3.8;6.9;4.8;6.3;7.4;11.0;12.8;12.7;12.7;9.9;5.0;7.4;8.4
8175;-1.4;4.0;2.4;6.1;10.5;14.2;17.3;18.6;14.7;9.9;2.6;3.3;8.5
8178D;-0.3;5.1;4.3;7.4;11.8;15.6;18.8;19.3;15.7;11.1;3.9;4.4;9.8
8025;6.7;9.7;9.1;11.8;15.3;19.0;21.4;22.8;20.7;15.6;10.4;9.4;14.3
8019;6.5;8.9;8.8;11.5;;18.3;20.7;22.1;;15.7;;9.3;
6325O;8.3;10.7;11.3;13.6;15.6;19.8;21.9;23.8;21.8;17.8;11.7;10.6;15.6
9091O;1.2;4.7;3.0;3.9;5.9;10.8;12.1;12.1;12.4;5.0;4.0;3.0;6.5
1212E;5.1;7.9;;;10.0;13.6;15.1;15.9;15.1;11.3;;8.1;
1208H;6.8;9.5;9.1;10.2;12.0;15.5;17.1;18.0;16.6;13.4;9.2;9.0;12.2
1249I;3.9;7.3;6.2;7.1;9.0;12.9;14.4;15.2;14.1;10.5;5.8;6.8;9.4
2444;-2.1;3.2;1.9;5.2;7.4;11.4;13.3;14.4;11.3;6.8;1.1;2.9;6.4
4452;3.2;7.7;6.6;11.3;11.5;14.6;16.3;17.4;16.0;11.9;5.0;6.7;10.7
B954;7.5;9.9;9.5;11.3;14.5;18.9;21.4;22.9;21.3;15.1;11.4;9.8;14.5
B893;6.8;8.2;8.2;9.5;12.7;18.6;20.1;21.2;20.4;14.6;10.7;8.4;13.3
B278;4.7;6.4;6.2;8.0;12.4;18.1;19.6;21.0;20.2;12.7;10.1;7.0;12.2
B228;8.4;10.5;10.3;11.9;15.6;20.8;23.1;23.9;22.5;17.0;12.6;10.4;15.6
0200E;4.4;8.2;7.9;8.9;12.6;18.5;19.7;19.8;18.3;14.2;7.9;7.6;12.3
0076;5.0;9.5;;10.4;14.5;20.3;;;20.2;;9.1;7.5;
1082;5.3;8.9;6.9;7.5;9.3;14.1;15.4;15.4;15.6;10.4;7.5;7.7;10.3
2331;-1.8;2.8;1.0;2.4;5.2;9.4;10.4;11.3;10.6;4.2;1.2;1.5;4.9
3469A;2.9;7.5;6.0;10.0;11.5;15.3;17.6;18.9;15.9;12.2;5.5;7.1;10.9
5973;9.4;13.0;12.9;15.9;17.3;19.8;21.7;22.4;21.2;18.6;12.3;13.0;16.5
5960;4.3;8.0;6.8;10.7;;14.4;16.6;17.3;16.0;12.4;;7.4;
