Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5910;6.7;10.5;9.6;13.4;14.2;16.9;19.7;20.2;18.6;15.5;8.6;9.9;13.7
6001;;11.3;10.8;13.3;14.8;17.4;19.1;20.2;18.8;17.2;;11.9;
1111;7.0;10.1;9.3;9.8;11.4;15.1;16.4;16.9;16.7;13.5;9.5;9.6;12.1
1109;5.7;9.0;8.1;9.2;11.4;15.4;16.5;16.6;16.1;11.6;8.6;7.6;11.3
8500A;6.4;10.0;8.7;10.6;14.9;19.1;21.1;21.9;19.7;15.2;10.2;9.0;13.9
5000C;10.8;12.7;12.5;14.6;16.6;18.6;21.0;21.8;20.5;18.2;13.2;13.3;16.2
4121;1.1;5.1;4.6;8.6;11.8;16.3;19.7;20.1;15.7;10.8;3.9;4.1;10.2
5402;3.1;7.5;6.2;11.1;12.1;16.7;;20.2;17.7;12.8;5.0;5.2;
8096;-0.6;3.8;2.9;6.1;9.5;14.4;16.6;17.7;13.3;8.2;2.3;2.7;8.1
1014;5.0;9.3;7.7;9.3;11.1;16.1;17.4;17.1;16.6;11.4;8.0;7.1;11.3
1024E;5.1;9.0;8.4;8.5;9.7;14.2;15.4;15.7;15.8;12.1;7.3;8.6;10.8
0367;-0.2;;3.2;5.6;9.7;15.3;17.1;17.3;16.5;9.9;4.8;1.9;
5530E;0.9;3.8;3.4;7.5;9.6;13.6;17.0;17.8;14.2;9.6;2.6;2.0;8.5
5514;1.2;3.9;3.1;7.2;9.9;13.7;17.5;18.3;14.4;10.0;3.2;2.7;8.8
3013;-6.6;0.5;-1.7;2.3;6.1;10.1;10.4;11.1;9.1;2.0;-1.8;-0.5;3.4
4642E;5.7;9.5;8.8;12.7;13.4;16.2;18.7;19.7;18.0;14.9;7.9;9.2;12.9
9898;0.0;5.6;4.1;5.8;9.3;14.3;16.0;16.3;14.9;9.3;3.3;2.8;8.5
5270B;4.7;8.3;8.6;11.0;;17.5;21.3;21.8;18.2;14.6;7.0;7.7;
9170;2.0;5.2;4.9;6.7;8.7;13.6;15.6;15.8;14.3;7.4;4.8;4.1;8.6
C249I;15.3;15.0;;;18.3;19.3;21.0;21.6;22.1;;17.4;;
C649I;;15.0;;;;19.5;20.7;21.9;21.9;;17.8;16.0;
C029O;13.6;13.4;;16.0;17.4;18.5;20.1;21.0;20.8;18.9;;14.6;
2661;-1.7;2.6;1.7;4.5;6.4;10.3;11.6;12.3;11.2;6.8;0.9;3.0;5.8
1549;0.1;4.4;3.3;6.9;8.5;12.2;13.9;14.3;12.5;7.9;2.0;4.1;7.5
9771C;0.3;6.0;4.5;7.1;11.5;16.5;18.1;18.4;16.6;9.4;2.9;3.1;9.5
1505;2.4;5.7;2.1;5.0;6.5;10.7;12.2;12.5;11.4;7.8;3.0;4.3;7.0
3191E;1.1;4.8;4.8;6.4;10.0;14.6;17.3;18.9;14.0;10.5;3.5;4.6;9.2
3129;-1.7;4.0;3.0;6.8;10.0;15.0;16.3;17.6;14.3;8.2;2.4;2.4;8.2
3196;0.5;5.9;5.7;8.4;11.6;16.1;18.7;19.9;15.4;11.0;4.3;4.5;10.2
3200;-0.6;6.1;5.5;8.2;12.0;16.6;19.1;20.7;15.9;11.1;4.3;4.3;10.3
3195;1.2;6.5;6.3;8.6;;16.4;18.9;20.4;15.9;11.7;5.1;5.6;
3175;-2.5;3.3;;5.5;8.4;13.0;14.3;;13.8;;2.2;1.7;
2462;-4.0;-0.3;-0.8;1.7;3.9;8.6;10.9;13.2;8.4;5.8;-2.0;0.3;3.8
6155A;7.9;10.4;9.9;13.6;15.5;18.9;22.1;23.0;20.5;16.3;10.3;10.7;14.9
6000A;10.6;12.4;12.2;14.3;16.7;19.6;22.9;23.0;21.3;;13.0;12.3;
7178I;5.3;9.2;8.6;11.9;14.9;18.8;21.6;23.0;20.3;15.3;9.2;8.3;13.9
7228;3.8;7.6;7.4;10.9;13.7;17.4;20.7;22.3;19.7;14.2;8.4;7.6;12.8
7031;5.4;8.9;9.5;12.2;14.1;18.4;21.2;22.8;20.2;15.4;9.3;9.0;13.9
9263D;1.1;5.1;3.3;4.3;6.9;11.6;;13.6;12.9;6.8;;2.3;
9262;2.8;;5.4;6.7;9.2;13.9;15.7;15.1;14.7;9.2;5.5;3.3;
1690A;3.2;6.3;4.2;8.0;8.9;12.9;14.6;15.0;14.1;10.5;4.9;6.7;9.1
1484C;5.0;8.4;7.1;9.2;9.4;12.7;14.5;14.7;14.9;12.2;7.0;9.2;10.4
1495;4.3;7.7;;9.2;9.4;12.9;14.3;14.5;14.3;11.7;;8.3;
2867;-2.5;3.4;0.6;5.1;6.7;10.3;11.0;11.6;10.2;5.1;-0.6;1.2;5.2
2870;0.1;5.4;3.5;7.1;9.0;13.2;14.8;15.2;13.0;8.5;2.3;3.6;8.0
C929I;17.2;16.6;17.4;18.3;19.2;20.0;21.1;22.1;23.1;21.7;19.7;18.0;19.5
C430E;2.3;1.5;2.3;3.8;6.8;9.8;15.2;12.9;11.4;9.8;3.4;3.2;6.9
C139E;15.8;15.2;16.2;17.2;;19.4;20.8;21.9;22.2;20.6;18.3;17.0;
C449C;15.7;15.3;16.4;17.9;19.1;20.0;21.6;22.5;22.6;20.6;18.2;17.0;18.9
C447A;10.5;9.9;10.8;11.8;13.3;15.0;16.3;18.0;17.2;15.8;12.5;11.6;13.6
C429I;14.8;14.4;14.8;16.9;;18.6;19.9;21.4;21.5;19.7;17.3;15.8;
2465;-0.4;4.4;3.1;5.5;7.9;12.0;13.8;15.4;12.4;8.3;1.5;3.6;7.3
5796;5.4;8.4;8.1;11.6;12.9;16.6;19.6;20.6;18.3;14.7;7.6;8.2;12.7
5783;5.6;9.2;;12.4;13.6;17.0;;20.6;;;7.7;;
2030;-2.9;2.6;1.5;3.9;6.4;10.2;11.8;12.5;11.0;4.5;0.8;1.0;5.3
0016A;2.8;7.3;;8.1;12.6;17.2;19.7;20.0;18.2;11.9;6.1;5.8;
9981A;6.2;8.8;8.4;9.5;13.6;18.3;20.4;20.6;18.7;12.9;9.4;7.8;12.9
9381I;-4.7;2.3;0.5;3.6;7.4;11.9;12.9;13.7;11.4;4.6;0.3;0.6;5.4
8368U;-4.5;2.0;1.2;4.5;8.1;12.1;13.3;14.7;11.8;5.9;1.4;0.5;5.9
3260B;-0.4;6.1;5.6;8.9;12.1;16.1;19.0;20.1;;10.6;3.9;;
8416;6.7;10.7;9.1;11.5;15.7;19.6;21.9;22.7;20.2;15.7;10.4;9.8;14.5
8414A;4.3;9.2;7.1;10.1;14.5;18.4;20.6;21.9;19.2;14.6;8.9;7.8;13.1
2422;-0.2;4.6;3.4;5.8;8.3;12.3;14.1;14.6;12.9;7.9;1.6;3.1;7.4
2539;-1.7;3.4;1.5;3.9;5.6;9.7;11.2;11.9;11.1;5.9;-0.2;1.6;5.3
2614;0.2;5.0;3.1;6.3;8.9;12.8;14.7;14.6;13.1;8.3;1.8;3.7;7.7
9390;-3.2;3.6;1.4;4.6;8.5;12.9;14.2;14.8;12.4;5.3;1.1;1.4;6.4
9434;3.0;7.0;6.7;8.5;12.2;16.8;19.0;19.1;16.9;10.7;6.7;4.9;11.0
