Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
7228;17.0;20.3;20.2;22.2;28.0;31.2;35.8;35.5;32.1;26.4;19.6;18.8;25.6
7031;16.7;18.1;17.3;19.7;23.6;26.5;29.7;30.2;28.3;24.5;19.3;18.2;22.7
9263D;8.6;14.5;15.2;16.9;21.8;26.1;;29.7;26.3;20.5;;8.8;
9262;8.7;;14.7;16.3;20.8;25.2;27.3;28.3;25.4;19.9;11.3;9.5;
1690A;11.6;15.8;19.8;21.3;23.6;27.1;29.1;31.3;27.1;23.5;16.1;15.9;21.9
1484C;11.7;14.9;17.8;19.7;19.5;23.7;24.2;25.4;24.2;21.6;16.1;15.3;19.5
1495;11.2;14.0;;19.0;18.5;23.2;23.8;25.6;23.5;20.8;;14.4;
2867;7.7;13.7;16.0;17.7;21.9;27.2;30.0;31.6;24.7;21.5;11.3;11.7;19.6
2870;9.1;14.1;16.8;18.4;22.5;27.5;30.4;31.9;24.9;22.0;12.5;12.5;20.2
C929I;21.1;21.0;21.3;23.0;22.7;23.8;24.4;26.4;27.0;25.3;23.2;22.1;23.4
C430E;8.4;8.8;10.3;12.4;15.7;18.8;24.2;21.5;20.0;17.9;10.7;9.9;14.9
C139E;20.6;21.0;21.3;22.8;;23.9;25.1;27.3;27.0;25.6;22.8;22.0;
C449C;21.5;21.8;22.8;23.9;25.3;26.4;29.0;29.4;28.1;26.7;23.3;22.3;25.0
C447A;17.3;17.2;17.2;20.0;20.2;22.5;24.9;26.8;25.6;24.1;18.8;17.9;21.0
C429I;21.9;22.5;23.1;24.2;;26.1;28.8;29.8;29.0;27.6;24.3;23.0;
2465;6.9;12.7;13.6;15.2;20.0;25.4;28.9;30.7;23.1;20.1;8.8;11.9;18.1
5796;15.2;18.9;21.9;24.3;29.5;32.0;36.9;37.1;32.2;28.9;19.3;19.1;26.3
5783;15.0;18.7;;24.0;29.2;32.2;;36.7;;;19.0;;
2030;6.9;12.1;13.4;15.4;19.0;24.2;28.6;30.7;23.5;20.2;10.9;11.7;18.1
0016A;13.7;16.7;;18.5;23.2;28.8;30.4;31.0;28.6;23.7;17.3;16.6;
9981A;14.7;17.6;19.8;20.5;26.4;30.9;33.1;32.7;29.2;25.2;17.3;16.2;23.6
9381I;5.9;14.9;14.8;16.2;21.8;26.2;30.8;31.2;24.6;20.8;10.3;12.5;19.2
8368U;7.4;15.5;16.0;17.2;23.1;27.3;32.8;32.1;25.9;22.2;12.0;14.0;20.5
3260B;8.9;16.2;18.3;20.3;26.2;31.1;35.1;36.4;;24.2;14.9;;
8416;16.5;18.4;17.7;18.6;23.9;27.2;29.9;30.1;28.5;24.7;19.4;19.1;22.8
8414A;15.8;18.2;17.9;18.8;24.7;28.2;31.2;31.1;28.7;24.5;18.7;18.6;23.0
2422;7.2;13.5;16.2;17.5;22.5;27.6;30.6;32.0;24.9;21.0;11.0;11.3;19.6
2539;6.8;12.7;14.9;15.9;20.6;26.2;29.2;30.7;23.8;19.9;10.6;11.3;18.6
2614;7.5;13.3;16.7;18.2;22.9;27.8;30.9;32.2;25.2;21.2;11.7;11.3;19.9
9390;7.3;15.3;15.3;16.9;22.2;26.7;31.2;31.3;25.1;21.3;11.1;12.5;19.7
9434;10.9;16.2;17.3;18.9;24.9;29.7;32.7;32.6;27.5;22.1;13.7;10.3;21.4
