Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;12.7;15.4;16.1;17.6;17.9;19.3;21.9;23.2;22.8;20.4;15.2;16.3;18.2
1387E;12.2;15.1;16.3;18.2;18.0;20.4;22.1;24.0;23.4;20.7;15.1;15.7;18.4
1428;10.7;13.8;16.4;17.6;18.1;21.7;22.5;24.5;22.3;19.2;14.0;13.9;17.9
8175;8.4;15.3;16.1;18.1;24.9;29.5;34.7;34.6;28.2;23.2;13.7;13.8;21.7
8178D;8.6;15.7;16.2;18.1;24.9;29.5;34.6;34.5;28.0;23.6;14.2;14.1;21.8
8025;17.2;19.2;18.7;20.1;24.8;28.0;31.0;31.7;29.9;25.2;19.5;18.9;23.7
8019;16.8;18.7;18.2;19.6;;27.6;31.1;31.9;;24.9;;18.3;
6325O;16.6;19.4;19.8;21.5;25.0;28.1;30.2;31.4;30.2;25.8;20.4;18.7;23.9
9091O;8.7;13.8;13.9;15.4;20.0;23.3;25.8;26.6;24.5;19.6;10.6;10.3;17.7
1212E;11.8;15.2;;;16.6;18.4;20.7;21.9;21.5;19.7;;15.2;
1208H;13.5;16.4;15.2;16.1;17.9;19.9;22.1;22.8;22.0;20.1;15.2;16.1;18.1
1249I;10.6;14.9;15.0;16.1;18.1;19.5;22.4;23.4;22.4;19.8;12.5;14.2;17.4
2444;7.4;11.8;12.6;14.7;20.3;25.2;28.6;30.2;22.3;19.4;8.7;11.5;17.7
4452;12.7;17.2;20.9;22.7;26.9;31.0;34.5;35.6;29.6;26.4;17.4;16.5;24.3
B954;15.1;17.5;16.8;18.5;22.5;26.9;29.5;30.4;28.9;23.8;17.7;16.9;22.0
B893;14.5;16.1;16.4;18.3;21.8;28.3;29.8;29.7;27.7;22.6;16.8;15.9;21.5
B278;14.7;17.7;17.5;19.2;23.1;28.8;31.2;31.9;29.8;24.3;17.5;16.7;22.7
B228;15.6;18.0;18.2;19.3;23.0;28.2;30.5;31.4;29.5;24.4;18.2;17.4;22.8
0200E;11.1;15.0;16.3;17.0;22.0;28.1;30.0;29.1;27.4;22.0;14.7;14.2;20.6
0076;13.0;15.8;;17.4;21.2;27.2;;;27.4;;17.1;16.4;
1082;12.3;17.2;16.7;17.5;20.4;23.1;23.9;24.6;26.1;22.1;14.0;16.8;19.6
2331;5.9;11.3;13.0;14.2;19.5;23.7;27.6;28.7;23.4;18.7;9.1;10.5;17.1
3469A;11.4;15.2;18.2;20.5;25.0;29.9;33.5;34.9;27.7;24.3;15.2;15.1;22.6
5973;14.7;18.1;19.4;20.7;23.7;25.1;27.4;27.6;26.8;25.1;18.6;17.5;22.1
5960;14.9;18.7;21.3;23.6;;30.5;34.7;35.2;31.4;28.3;;19.3;
5910;14.7;18.4;20.4;21.9;25.7;27.2;30.2;30.2;28.4;26.8;19.3;18.2;23.5
6001;;15.9;16.7;18.5;21.2;23.0;24.6;26.2;24.9;22.3;;15.9;
1111;12.1;16.5;15.2;15.4;17.0;19.9;21.3;22.4;22.4;20.1;14.2;15.3;17.7
1109;12.6;17.1;16.4;16.8;19.1;21.5;23.0;23.6;24.0;21.2;14.8;16.4;18.9
8500A;16.3;17.7;17.4;18.5;23.6;28.1;30.0;30.3;28.3;24.2;18.7;17.8;22.6
5000C;15.9;17.1;17.9;19.4;23.1;25.1;29.1;29.1;27.0;24.0;18.9;17.1;22.0
4121;10.1;15.9;18.0;19.6;25.9;31.0;34.6;34.9;27.6;23.3;13.9;12.9;22.3
5402;14.2;18.2;22.1;24.0;29.7;33.1;;37.6;31.9;28.1;18.7;17.4;
8096;8.9;13.8;16.4;16.9;23.2;27.6;32.9;33.5;26.2;22.3;12.8;13.0;20.6
1014;11.4;17.2;16.1;17.7;19.7;22.6;23.6;24.4;24.6;21.5;14.0;15.5;19.0
1024E;9.8;15.3;13.7;15.2;17.4;20.2;20.6;21.2;22.1;18.8;12.0;14.4;16.7
0367;13.0;;17.2;18.5;22.8;30.6;32.1;31.5;28.0;23.0;16.2;16.1;
5530E;13.3;17.7;19.8;21.2;27.8;32.3;37.0;36.6;31.3;26.6;16.1;16.3;24.7
5514;12.7;17.4;19.0;20.3;26.4;30.7;35.7;35.4;30.4;25.7;15.5;15.8;23.8
3013;5.3;13.8;15.0;16.8;20.9;25.4;29.5;30.6;23.7;20.0;9.9;11.5;18.5
4642E;15.5;18.3;21.5;22.7;27.6;28.7;33.1;32.8;29.8;27.6;20.1;19.0;24.7
9898;8.0;13.9;16.7;18.0;23.0;28.7;31.6;31.9;26.4;20.9;13.0;9.2;20.1
5270B;12.2;16.3;18.6;20.4;;30.4;35.1;34.9;29.3;24.9;14.5;14.5;
9170;10.2;14.6;15.7;17.5;23.7;27.8;30.0;31.1;26.0;21.1;12.7;10.1;20.0
C249I;20.9;21.2;;;24.6;25.4;27.5;27.1;27.2;;22.8;;
C649I;;21.5;;;;25.6;27.3;28.3;27.4;;23.0;22.1;
C029O;21.4;21.8;;25.2;26.1;27.7;29.4;31.1;30.1;28.2;;22.4;
2661;8.1;10.8;14.8;16.3;19.8;24.2;27.3;28.9;22.4;19.5;12.1;11.1;17.9
1549;9.2;13.4;17.9;20.0;21.9;26.0;28.9;30.7;24.7;21.4;13.4;11.9;20.0
9771C;9.7;16.0;18.9;19.9;25.4;30.8;33.6;33.1;28.9;23.1;14.5;10.3;22.0
1505;9.1;13.5;15.6;17.6;19.2;21.3;24.1;25.6;23.1;19.8;12.7;13.1;17.9
3191E;7.1;11.3;13.9;15.4;21.1;25.9;30.1;31.2;23.0;19.6;11.3;11.1;18.4
3129;8.1;14.6;16.9;18.5;25.2;29.8;33.7;34.8;26.6;22.7;14.0;13.5;21.5
3196;8.6;14.6;17.0;18.7;24.7;29.3;32.9;34.3;26.6;22.6;14.0;13.5;21.4
3200;8.0;14.9;17.2;18.7;24.8;29.4;33.1;34.6;26.7;22.8;14.2;13.7;21.5
3195;7.5;13.9;16.1;17.6;;28.1;32.5;33.7;25.4;21.0;12.7;12.6;
3175;7.9;14.3;;17.8;23.9;28.2;32.2;;26.8;;14.0;13.6;
2462;1.5;4.9;7.1;8.9;12.9;18.1;22.3;24.6;16.1;13.9;3.1;5.2;11.6
6155A;17.0;19.0;19.7;21.4;25.1;28.8;32.4;32.0;29.3;25.8;20.4;18.8;24.1
6000A;17.2;18.2;18.2;20.0;23.5;25.8;29.7;29.8;27.4;;19.6;18.3;
7178I;17.2;20.3;19.9;21.6;27.4;30.6;35.5;35.3;32.1;26.6;19.9;19.1;25.5
