Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;79;74;69;71;74;80;78;77;78;77;78;76;76
1387E;;76;70;72;73;77;;76;78;76;;77;
1428;89;84;;;74;75;78;;80;82;84;84;
8175;83;72;67;67;48;46;33;42;;64;75;77;
8178D;77;64;61;66;53;51;42;48;58;62;72;75;61
8025;58;64;66;71;59;60;62;63;64;70;60;63;63
8019;59;68;;;;63;64;66;;71;;66;
6325O;;70;66;71;65;62;68;71;64;68;60;68;
9091O;85;75;71;68;69;74;69;70;74;75;86;89;75
1212E;82;;;;;85;82;79;83;77;;78;
1208H;74;71;74;72;74;80;78;77;82;;79;79;
1249I;79;71;73;73;76;84;79;77;80;76;86;77;78
2444;76;72;63;68;52;46;37;36;60;61;81;76;61
4452;82;77;56;62;48;47;42;43;58;65;74;83;61
B954;72;75;77;77;71;69;71;69;73;74;73;;
B893;78;83;76;73;68;64;60;64;76;;82;81;
B278;74;;;;62;63;59;;69;71;76;80;
B228;;;;68;67;68;;65;70;68;;73;
0200E;67;77;67;69;65;59;60;66;73;;66;68;
0076;70;78;;;68;62;;;71;;68;68;
1082;;68;;64;;;77;76;76;74;84;71;
2331;89;82;70;72;65;64;51;52;67;71;86;86;71
3469A;81;78;60;65;48;43;34;33;56;60;70;80;59
5973;83;78;69;75;65;67;67;74;74;70;71;78;73
5960;85;79;65;69;;57;51;58;64;63;;77;
5910;83;77;63;;56;63;59;66;71;65;69;77;
6001;;88;82;86;75;79;81;;84;82;;83;
1111;76;69;;;78;83;83;;83;75;81;80;
1109;77;68;70;;71;;76;77;80;78;84;79;
8500A;55;68;68;70;62;60;62;65;70;67;57;63;64
5000C;75;78;75;78;67;71;62;70;73;77;70;77;73
4121;80;72;58;63;43;36;27;32;54;57;70;80;56
5402;80;77;60;65;44;40;;34;;55;68;;
8096;76;69;53;63;48;46;31;36;55;56;67;74;56
1014;;68;70;62;73;76;75;;77;73;82;79;
1024E;82;72;71;68;78;84;86;84;82;78;83;71;78
0367;74;;;;;54;54;61;;;75;78;
5530E;77;72;60;64;50;41;34;40;51;;72;77;
5514;;65;56;59;43;38;29;34;42;54;66;71;
3013;;68;59;64;57;57;43;46;64;64;76;76;
4642E;77;80;62;71;51;54;47;53;62;60;64;75;63
9898;82;80;60;60;50;;43;;60;65;71;89;
5270B;69;68;50;59;;37;23;;;48;65;;
9170;76;77;64;;55;55;50;50;67;68;73;86;
C249I;70;67;;;64;66;69;70;74;;70;;
C649I;;63;;;;60;63;61;69;;66;68;
C029O;71;68;;64;61;;65;61;66;66;;66;
2661;80;80;62;61;56;56;46;43;66;65;75;82;64
1549;81;77;58;55;;56;49;50;66;69;77;;
9771C;83;77;;63;52;51;;52;65;72;77;86;
1505;87;78;75;74;;77;74;72;77;81;87;87;
3191E;74;75;57;67;53;47;37;35;60;60;66;75;59
3129;78;;58;63;47;41;31;31;56;60;;77;
3196;78;72;;62;;44;33;34;56;;;;
3200;82;73;58;61;45;;34;37;55;;65;75;
3195;77;70;51;60;;45;34;;57;58;65;75;
3175;;76;58;64;50;;33;34;58;61;69;78;
2462;86;87;75;82;72;61;44;38;72;67;89;78;71
6155A;;72;71;72;62;56;55;63;66;70;59;70;
6000A;71;75;74;76;66;69;60;70;74;75;69;73;71
7178I;;59;63;68;52;52;48;52;57;66;58;64;
7228;59;61;63;67;51;51;48;52;58;67;60;66;59
9263D;79;75;67;63;;;;60;;68;;92;
1690A;82;77;61;65;58;60;58;57;;71;78;82;
1484C;83;80;65;71;72;;74;74;;79;77;84;
1495;85;82;;72;73;;75;;78;82;;;
2867;82;75;61;65;56;53;48;47;64;67;;;
2870;78;71;59;62;55;;48;49;60;;75;82;
C929I;69;66;;68;68;;78;74;74;71;70;70;
C430E;;;;48;;27;;;33;;;;
C139E;;;66;;;70;74;69;73;68;70;70;
C449C;67;63;;;54;55;;57;;62;66;68;
C447A;;77;;79;76;;;;76;69;82;;
C429I;;60;59;64;;60;;;;;64;;
2465;78;69;57;68;57;47;36;33;56;56;80;72;59
5796;;70;;61;49;51;46;51;58;57;64;69;
5783;82;79;;62;44;45;;;;;66;;
2030;80;77;;64;;60;45;43;;62;72;79;
0016A;67;;;;60;57;57;60;68;70;63;68;
9981A;59;73;60;67;55;59;58;62;76;69;;70;
9381I;79;67;61;65;54;57;43;48;64;64;77;77;63
8368U;75;67;60;67;55;58;41;55;65;61;72;71;62
3260B;83;73;56;62;46;40;29;30;;57;69;;
8414A;60;67;;71;56;57;57;63;69;70;60;63;
2422;84;76;59;65;54;;39;38;60;62;78;84;
2539;85;78;62;68;59;;;40;64;65;80;85;
2614;84;78;60;65;52;;40;40;62;64;77;86;
9390;77;65;59;63;53;55;42;46;64;63;74;76;61
9434;;71;;;50;;;;;;;83;
