Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;143.2;181.2;14.8;85.3;100.8;101.4;24.7;14.6;68.0;100.0;104.2;94.8;1033.0
1387E;135.7;171.5;21.9;91.2;68.3;95.9;15.8;8.3;98.6;82.2;102.7;103.7;995.8
1428;229.8;299.4;17.6;90.5;131.8;79.9;29.9;13.9;109.9;150.3;53.9;209.5;1416.4
8175;58.0;13.4;16.0;64.6;23.6;50.8;0.0;45.2;32.0;47.0;37.6;12.6;400.8
8178D;49.7;15.9;16.1;63.8;27.7;47.6;0.5;37.6;42.3;50.2;34.0;12.7;398.1
8025;25.6;6.2;48.8;48.0;57.0;10.2;26.4;1.0;5.6;33.2;51.2;1.2;314.4
8019;31.3;1.8;94.6;61.1;67.3;14.2;23.3;0.4;10.5;46.6;112.5;2.0;465.6
6325O;68.2;1.8;54.7;15.0;26.2;11.5;0.0;0.0;0.2;27.2;5.8;0.0;210.6
9091O;78.1;47.8;29.4;51.5;80.8;73.4;2.2;13.4;54.9;26.7;174.8;194.6;827.6
1212E;198.2;127.9;20.7;37.0;56.6;128.6;30.8;33.1;95.0;90.5;208.5;177.2;1204.1
1208H;175.6;112.8;16.2;44.8;51.2;150.5;20.4;25.0;47.8;68.8;234.8;149.2;1097.1
1249I;143.5;106.4;21.7;71.2;63.0;139.9;16.8;11.5;84.5;52.4;304.4;148.4;1163.7
2444;32.7;32.2;2.2;66.4;19.8;40.0;8.8;11.1;72.0;47.0;23.4;25.4;381.0
4452;36.3;82.4;5.8;69.0;17.2;45.2;0.0;0.0;81.1;55.2;5.2;49.2;446.6
B954;46.7;2.0;64.6;32.6;47.5;9.8;16.5;0.4;47.6;115.4;121.2;1.4;505.7
B893;68.0;6.4;53.1;20.3;29.7;9.9;4.9;0.6;136.9;25.0;258.9;27.3;641.0
B278;46.9;3.7;35.8;17.0;57.9;17.0;0.3;20.0;25.0;21.8;171.9;9.1;426.4
B228;53.3;4.6;44.3;20.8;53.2;18.9;1.2;26.0;29.1;46.7;251.8;11.0;560.9
0200E;26.2;26.5;7.7;62.7;13.4;7.8;9.0;8.3;23.3;63.0;76.2;3.8;327.9
0076;44.0;;10.3;33.3;14.2;3.3;;8.7;37.5;47.3;120.3;0.8;
1082;146.8;97.2;40.1;48.4;62.4;116.1;31.0;22.7;78.5;45.1;353.5;240.7;1282.5
2331;39.4;80.4;13.8;56.2;34.2;45.6;0.8;8.0;34.8;52.0;51.4;30.2;446.8
3469A;41.6;99.2;0.0;99.6;8.2;26.8;0.0;1.0;57.8;111.4;1.4;33.3;480.3
5973;135.3;63.8;16.2;8.2;3.0;13.0;0.0;1.0;17.4;10.2;15.0;142.0;425.1
5960;131.5;44.2;13.2;17.7;11.8;16.5;0.1;0.0;52.3;18.4;22.3;93.7;421.7
5910;129.1;75.3;8.5;8.0;9.1;13.6;0.0;0.8;48.0;23.2;19.8;114.6;450.0
6001;;108.6;126.4;30.1;6.6;1.8;0.0;0.4;8.2;;;76.8;
1111;209.4;80.9;20.2;45.2;72.5;127.7;88.7;42.0;80.6;69.5;282.1;200.1;1318.9
1109;212.2;84.0;38.3;51.7;58.5;118.1;60.4;34.4;94.4;42.9;341.7;257.0;1393.6
8501;;;;;25.8;41.1;17.3;76.0;72.4;14.3;44.0;1.0;
8500A;35.2;14.2;41.8;97.2;25.8;40.4;14.4;28.2;77.4;10.8;35.8;0.4;421.6
5000C;270.4;97.6;213.4;35.2;12.8;2.4;0.0;1.6;7.0;3.0;133.3;59.0;835.7
4121;67.8;27.6;9.8;66.8;10.2;17.3;0.0;19.8;58.2;56.4;17.8;20.0;371.7
5402;59.6;43.2;11.5;59.0;8.6;11.1;0.0;0.0;31.6;32.0;12.0;120.5;389.1
8096;54.1;54.9;5.8;73.0;39.2;29.4;6.0;24.8;64.2;98.8;45.6;33.8;529.6
1014;205.2;116.0;32.4;48.7;120.5;246.1;65.6;35.7;225.9;107.6;350.1;297.6;1851.4
